#META:{"version":1,"method":"GET","urlPattern":"https://sales-product-autoassign.apps.gmna.prd.cvca.atmosdt.gm.com/sales/product/autoassign/v1/vehicles/management/{{vin}}/onboarding/vehiclePurchaseOffers","headers":[{"key":"Accept-Language","value":"en-US"},{"key":"Content-Type","value":"application/json"}],"body":"","auth":{"type":"inherit"},"validationMode":"selective","unorderedArrays":true,"pathVariables":["vin"]}
name,path:vin,param:channel,param:enrollmentType,param:country,param:accountType,param:vehicleUsageCode,validate:$.offers[0].associatedOfferingCode,validate:$.offers[0].offerName,validate:$.offers[1].associatedOfferingCode,validate:$.offers[1].offerName,validate:$.offers[2].associatedOfferingCode,validate:$.offers[2].offerName,validate:$.offers[3].associatedOfferingCode,validate:$.offers[3].offerName,validate:$.offers[4].associatedOfferingCode,validate:$.offers[4].offerName,validate:$.offers[5].associatedOfferingCode,validate:$.offers[5].offerName
ONBOARD_AS_NEW-US-PN-1GYS9GKLXTR305188,1GYS9GKLXTR305188,WEB,ONBOARD_AS_NEW,US,PN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-KL77LJEP6TC134481,KL77LJEP6TC134481,ADVISOR,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_WITH_RTS-US-PN-1GKS2BKC8JR360009,1GKS2BKC8JR360009,ADVISOR,ONBOARD_WITH_RTS,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_USED-US-PN-1GNERFKW7MJ266543,1GNERFKW7MJ266543,ADVISOR,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_NEW-US-PN-1GT4USEY4TF198616,1GT4USEY4TF198616,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-1GKS1BKDXTR296523,1GKS1BKDXTR296523,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_WITH_RTS-US-PN-1GNEVJKS2TJ315674,1GNEVJKS2TJ315674,ADVISOR,ONBOARD_WITH_RTS,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-US-PN-1G1ZD5ST7LF040473,1G1ZD5ST7LF040473,ADVISOR,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_NEW-US-PN-KL77LJEP8TC127323,KL77LJEP8TC127323,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-KL77LHEP8TC128867,KL77LHEP8TC128867,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-US-PN-1G1FY6S03L4105317,1G1FY6S03L4105317,WEB,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,EVZRCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_WITH_RTS-US-PN-3GCPKCEK4SG362514,3GCPKCEK4SG362514,WEB,ONBOARD_WITH_RTS,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_WITH_RTS-US-PN-1G6DU5RK9S0115189,1G6DU5RK9S0115189,WEB,ONBOARD_WITH_RTS,US,PN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-US-PN-3GTPHCEK8PG208815,3GTPHCEK8PG208815,WEB,ONBOARD_AS_USED,US,PN,,DAZRCNCP03YUSULWA,WiFi Connectivity,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_WITH_RTS-US-PN-3GN7DNRP6TS123760,3GN7DNRP6TS123760,WEB,ONBOARD_WITH_RTS,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,
ONBOARD_AS_NEW-US-PN-1GCPSBEK0T1203063,1GCPSBEK0T1203063,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-US-PN-3GCNAAEK8SG350431,3GCNAAEK8SG350431,WEB,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_USED-US-PN-1GYS4PKJXFR737751,1GYS4PKJXFR737751,ADVISOR,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_NEW-US-PN-1GC4KME79TF241047,1GC4KME79TF241047,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-1GNEVJKS5TJ300053,1GNEVJKS5TJ300053,WEB,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_WITH_RTS-US-PN-1GKTESDC9TU604131,1GKTESDC9TU604131,ADVISOR,ONBOARD_WITH_RTS,US,PN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,
ONBOARD_WITH_RTS-US-PN-2GCUDGED8R1128739,2GCUDGED8R1128739,ADVISOR,ONBOARD_WITH_RTS,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,RAZFCNCP03YUCX,Remote Access - 3 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-US-PN-2GC4YME72R1187797,2GC4YME72R1187797,WEB,ONBOARD_AS_USED,US,PN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
